symbol,pct_change
DOTUSDT,0.16904129437333187
CELOUSDT,0.06412311638344917
DAIUSDT,0.049096622152390516
ATOMUSDT,0.02157031924071281
USDCUSDT,0.010002000400078915
TUSDUSDT,0.0
DOGEUSDT,-0.01661198554757766
NEARUSDT,-0.03636363636363236
NEXOUSDT,-0.07886435331231166
LINKUSDT,-0.08456659619450138
TIAUSDT,-0.11086474501108656
TRXUSDT,-0.11848341232227827
WOOUSDT,-0.1459854014598582
SUIUSDT,-0.1473040578098967
STRKUSDT,-0.1482579688658308
SHIBUSDT,-0.15349194167306068
SUSDT,-0.15822784810126597
XRPUSDT,-0.1695704215986203
COMPUSDT,-0.17993702204228137
ETHUSDT,-0.19439089323419295
WBTCUSDT,-0.1990014168738074
ZRXUSDT,-0.21141649048625422
ETCUSDT,-0.2380952380952415
APEUSDT,-0.2430724355857958
ALGOUSDT,-0.24824162184525836
ENAUSDT,-0.2659252991659725
XLMUSDT,-0.33915992695016123
SPELLUSDT,-0.36570499796831446
GALAUSDT,-0.4013761467889943
JASMYUSDT,-0.40788579197825303
LDOUSDT,-0.42003231017771353
BCHUSDT,-0.42589437819420783
YFIUSDT,-0.43843624406284254
LTCUSDT,-0.4468980021030539
ADAUSDT,-0.48450704225351787
CHZUSDT,-0.5130597014925488
SUSHIUSDT,-0.517177687476923
XTZUSDT,-0.5387931034482765
BONKUSDT,-0.5492184199408411
JUPUSDT,-0.5635919594213794
SOLUSDT,-0.5799616403324422
FETUSDT,-0.5917159763313614
SEIUSDT,-0.6277463904582554
STGUSDT,-0.6329113924050734
FLOKIUSDT,-0.6836919364568673
ARBUSDT,-0.6896551724137793
POLUSDT,-0.7168458781362014
UNIUSDT,-0.7905939590512813
AAVEUSDT,-0.8273544050158368
PEPEUSDT,-0.8379888268156502
MKRUSDT,-1.1979752530933607
CRVUSDT,-1.2919896640826818
EIGENUSDT,-1.5262110152621042
